ZONA,SESIONES ,USUARIOS UNICOS,AÑO
UTP_Modulo_de_ventas,40.125,3.288,2.022
UTP_Parque_ESTUDIANTES,4.145,249,2.022
Via_Principal_Samaria,121.995,6.457,2.022
Villa_Santana_Intermedio,44.671,2.478,2.022
Villasantana_Monserrate,72.611,1.724,2.022
Yarumito_Tribunas,95.056,432,2.022
Zona_Comercial_Cuba,48.128,1.866,2022
Alta_gracia_la_virgen,59385,4047,2024
alta_gracia_leon_suarez,49626,854,2024
Altagracia_La_Cabanita,9640,362,2024
ZW_El_Estanquillo_Radio,47756,590,2024
Barrio_Esperanza_yarumal,5557,226,2024
parque_de_arabia,91946,3554,2024
Barrio_la_unidad,21342,876,2024
Cancha_gaviotas,91580,892,2024
Parque_central_tobogan,37878,2078,2024
parque_de_boston_sintetica,52277,2445,2024
parque_mejia_robledo,75142,2099,2024
Zw_Boston_Florida,16282,393,2024
ZW_La_Laguna,23953,683,2024
Bomberos_caimalito,55708,2071,2024
Carbonera_ZW_Rural,128134,1211,2024
Centro_caseta_comunal_caimalito,96165,1254,2024
Colegio_gabriel_trujillo_caimali,103660,2848,2024
Gabriel_Trujillo_el_Azufral,73745,1378,2024
Calle 20 Carrera 6 Estación Megabus,32995,6003,2024
calle_la_fundacion_cll19,23846,2727,2024
Parque_buenos_aires,160240,3727,2024
parque_el_lago,345730,16815,2024
parque_gaitan,142604,6888,2024
parque_la_libertad,136150,7603,2024
parque_olaya,302253,9960,2024
plaza_de_bolivar,423805,32004,2024
plaza_mercado_la_29,20422,1088,2024
plaza_mercado_la_40,126753,3779,2024
plaza_victoria,150507,16306,2024
zona_centro_kra8_cll17,41518,3189,2024
Campo_Hermoso,33214,964,2024
Escuela_esperanza_galicia,42566,1068,2024
Galicia_cancha,39788,2463,2024
ZW Las Colinas,8215,345,2024
ZW_Estación_Villegas,14034,646,2024
Alto_Erazo,10702,619,2024
ZW_Cacerio_Penjamo_Radio,19273,447,2024
ZW_Guillermo_Hoyos,40020,483,2024
ZW_Maracaibo_Radio,42150,247,2024
ZW_San_Luis_Combia_Alta_Radio,14869,445,2024
Crucero_de_combia,37423,2263,2024
ZW La Honda,28295,364,2024
ZW_San Marino,6287,183,2024
Barrio_naranjito,24475,842,2024
Cai_del_padre_valencia,27230,1368,2024
Canchas_Del_Dorado,138396,3288,2024
El_Rosal_Pereira,50014,961,2024
parque_villaverde,44101,3599,2024
parqueadero_de_miraflores,63825,1041,2024
Zw_Cancha_El_Naranjito,1610,173,2024
ZW_Sinai_Radio,12086,562,2024
Calle70_Cra36_Cuba,18080,1306,2024
Ormaza,162252,2221,2024
parque_guadalupe_zapata,89226,6790,2024
parque_uribe_1,10624,506,2024
sector_comercial_cuba,44592,2762,2024
Boquia_calle_62,24523,985,2024
Cancha_sectorb_parque_industria,80563,5197,2024
La_gran_manzana,145610,6534,2024
parque_malaga,49700,1815,2024
ZW_Llano_Grande,8818,845,2024
Avenida_del_rio_barrio_america,55161,929,2024
Avenida_del_rio_barrio_zea,3616,309,2024
Barrio_san_camilo,32747,1323,2024
cancha_cll26_kra1_bis_gualanday,41791,1183,2024
