ANO_INF,TIPO,CODIGO_DANE,DANE_ANTERIOR,CONS_SEDE,INSTITUCION,COMUNA,ZONA,NUCLEO,GENERO,VICTIMA,DISCAPACIDAD,CAPACIDADES,ETNIAS,JORNADA,CARÁCTER,ESPECIALIDAD,GRADO,NIVEL,METODOLOGIA
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NEGRITUDES,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,SI,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NEGRITUDES,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,Intelectual,NO APLICA,NEGRITUDES,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,SI,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,M,SI,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001003334,366001003334,36600100333401,ANUNCIACION,CENTRO,URBANA,4,F,NO,Intelectual,NO APLICA,NO APLICA,COMPLETA,ACADEMICO,ACADEMICO,Once,Media,Educación tradicional
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 1 Adultos,Básica Primaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006571,366001006571,36600100657101,COLEGIO DE ENSEÑANZA LATINOAMERICANO - CENLA,CUBA,URBANA,8,M,NO,Intelectual,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001003318,366001003318,36600100331801,COL SANTA ROSA DE LIMA,CUBA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Tercero,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001006635,366001006635,36600100663501,COLEGIO BOSTON,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NEGRITUDES,MAÑANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,M,NO,Múltiple,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Sexto,Básica Secundaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001005264,366001005264,36600100526401,LICEO COMERCIAL MANUELA BELTRAN,JARDIN,URBANA,3,F,NO,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005264,366001005264,36600100526401,LICEO COMERCIAL MANUELA BELTRAN,JARDIN,URBANA,3,M,SI,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,M,SI,Intelectual,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Cuarto,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,M,NO,Intelectual,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Cuarto,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,M,NO,Auditiva -Usuario de Lengua de Señas Colombiana,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,F,NO,Auditiva -Usuario de Lengua de Señas Colombiana,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Tercero,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NEGRITUDES,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001003334,366001003334,36600100333401,ANUNCIACION,CENTRO,URBANA,4,F,NO,No Aplica,NO APLICA,NO APLICA,COMPLETA,ACADEMICO,ACADEMICO,Once,Media,Educación tradicional
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006791,366001006791,36600100679101,FUNDACION CINDES,OLIMPICA,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,ACADEMICO,ACADEMICO,Once,Media,Educación tradicional
2024,PRIVADO CALENDARIO A,366001005035,366001005035,36600100503501,GIMNASIO CREATIVO LOS ANDES,CENTRO,URBANA,4,F,NO,Transtorno del Espectro Autista,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Cuarto,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001006741,366001006741,36600100674101,COLEGIO ANGLO COLOMBIANO,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001006791,366001006791,36600100679101,FUNDACION CINDES,OLIMPICA,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,ACADEMICO,ACADEMICO,Décimo,Media,Educación tradicional
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Tercero,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Cuarto,Básica Primaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001800005,366001800005,36600180000501,LICEO SUEÑOS CON FE,PERLA DEL OTUN,URBANA,8,F,NO,Intelectual,NO APLICA,NO APLICA,MAÑANA,NO APLICA,NO APLICA,Sexto,Básica Secundaria,Educación tradicional
2024,PRIVADO CALENDARIO A,366001005434,366001005434,36600100543401,INSTITUTO COMFAMILIAR,CENTRO,URBANA,4,M,NO,No Aplica,NO APLICA,NO APLICA,TARDE,NO APLICA,NO APLICA,Ciclo 5 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 3 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,NOCTURNA,NO APLICA,NO APLICA,Ciclo 6 Adultos,Media  Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
2024,PRIVADO CALENDARIO A,366001007500,366001007500,36600100750001,INSTITUCIÓN EDUCATIVA IDEAS,OLIMPICA,URBANA,8,M,NO,No Aplica,NO APLICA,NO APLICA,FIN DE SEMANA,NO APLICA,NO APLICA,Ciclo 4 Adultos,Básica Secundaria Jóvenes y Adultos,Programa para jóvenes en extraedad y adultos
