No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,UBICACIÓN,CAPACIDAD DE USUARIOS PERMITIDOS,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS,GEOREFERENCIACIÓN
18,513,UNE,RISARALDA,PEREIRA,CENTRO,BUENOS AIRES,PARQUE BUENOS AIRES,2,"(4.813760, -75.708439)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.708439 4.81376)
19,513,UNE,RISARALDA,PEREIRA,CENTRO,CALLE 19 CARRERA 10 FUNDACIÓN,CLL 19 KRA 10 FUNDACION,2,"(4.812171, -75.694490)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.69449 4.812171)
20,513,UNE,RISARALDA,PEREIRA,CENTRO,CALLE 20 CARRERA 6A,ESTACION MEGABUS CLL 20 KRA 6,1,"(4.815620, -75.694950)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.69495 4.81562)
21,513,UNE,RISARALDA,PEREIRA,CENTRO,CLL 17 KRA 8,CLL 17 KRA 8,1,"(4.813606, -75.692333)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.692333 4.813606)
22,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE EL LAGO,PARQUE EL LAGO,2,"(4.814917, -75.699289)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.699289 4.814917)
23,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE GAITAN,PARQUE GAITAN,2,"(4.817657, -75.699281)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.699281 4.817657)
24,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE LA LIBERTAD,PARQUE LA LIBERTAD,2,"(4.813293, -75.689617)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.689617 4.813293)
25,513,UNE,RISARALDA,PEREIRA,CENTRO,PARQUE OLAYA HERRERA,PARQUE OLAYA,2,"(4.809850, -75.697109)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.697109 4.80985)
26,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA CIVICA,PLAZA CIVICA CIUDAD VICTORIA,2,"(4.811849, -75.692774)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.692774 4.811849)
27,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE BOLIVAR,PLAZA DE BOLIVAR,2,"(4.814707, -75.694415)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.694415 4.814707)
28,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE MERCADO LA 29,PLAZA DE MERCADO LA 29,2,"(4.815266, -75.702641)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.702641 4.815266)
29,513,UNE,RISARALDA,PEREIRA,CENTRO,PLAZA DE MERCADO LA 40,PLAZA DE MERCADO LA 40,2,"(4.814322, -75.713192)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.713192 4.814322)
30,513,UNE,RISARALDA,PEREIRA,CERRITOS,ESPERANZA-GALICIA,ESCUELA ESPERANZA GALICIA,2,"(4.798473, -75.814389)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.814389 4.798473)
31,513,UNE,RISARALDA,PEREIRA,CERRITOS,GALICIA,GALICIA CANCHA,2,"(4.811648, -75.796280)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.79628 4.811648)
32,513,UNE,RISARALDA,PEREIRA,CERRITOS,UKUMARI,PARQUE UKUMARI,2,"(4.802063, -75.810647)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.810647 4.802063)
33,789,UNE,RISARALDA,PEREIRA,CERRITOS,VEREDA CAMPO HERMOSO,CAMPO HERMOSO,1,"(4.803472, -75.831056)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.831056 4.803472)
34,789,UNE,RISARALDA,PEREIRA,CERRITOS,ESTACIÓN  VILLEGAS,ESTACIÓN  VILLEGAS,1,"(4.797472, -75.826472)",200,ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO,POINT (-75.826472 4.797472)
